ticker,model,horizon,rmse
AMZN,sarimax,1,1.51
AMZN,sarimax,3,6.02
AMZN,sarimax,7,10.8
AMZN,arima,1,1.51
AMZN,arima,3,6.02
AMZN,arima,7,10.8
MSFT,arimax,1,0.6
MSFT,arimax,3,8.26
MSFT,arimax,7,14.26
MSFT,arima,1,0.59
MSFT,arima,3,8.0
MSFT,arima,7,13.81
TSLA,lstm,1,4.349692142336148
TSLA,lstm,3,6.912265080668498
TSLA,lstm,7,5.523364306342264
AAPL,lstm,1,1.8053037351289327
AAPL,lstm,3,2.1737228192471885
AAPL,lstm,7,3.135656044560449
BA,arimax,1,6.01
BA,arimax,3,37.19
BA,arimax,7,39.54
BA,arimax,1,6.01
BA,arimax,3,37.19
BA,arimax,7,39.54
